#    L    TT             EE             BB             TE          
   331    0.29524E+04    0.14420E+02    0.27599E-01    0.10866E+03
   332    0.29222E+04    0.14596E+02    0.27697E-01    0.10786E+03
   333    0.28921E+04    0.14770E+02    0.27794E-01    0.10702E+03
   334    0.28624E+04    0.14943E+02    0.27891E-01    0.10615E+03
   335    0.28328E+04    0.15114E+02    0.27987E-01    0.10524E+03
   336    0.28035E+04    0.15285E+02    0.28082E-01    0.10430E+03
   337    0.27745E+04    0.15454E+02    0.28178E-01    0.10332E+03
   338    0.27457E+04    0.15622E+02    0.28272E-01    0.10231E+03
   339    0.27172E+04    0.15789E+02    0.28366E-01    0.10127E+03
   340    0.26890E+04    0.15954E+02    0.28460E-01    0.10021E+03
   341    0.26610E+04    0.16117E+02    0.28553E-01    0.99104E+02
   342    0.26334E+04    0.16280E+02    0.28646E-01    0.97970E+02
   343    0.26060E+04    0.16441E+02    0.28739E-01    0.96806E+02
   344    0.25791E+04    0.16599E+02    0.28831E-01    0.95613E+02
   345    0.25523E+04    0.16756E+02    0.28923E-01    0.94391E+02
   346    0.25259E+04    0.16912E+02    0.29014E-01    0.93147E+02
   347    0.24998E+04    0.17065E+02    0.29106E-01    0.91867E+02
   348    0.24741E+04    0.17215E+02    0.29196E-01    0.90558E+02
   349    0.24486E+04    0.17365E+02    0.29287E-01    0.89220E+02
   350    0.24235E+04    0.17511E+02    0.29377E-01    0.87860E+02
   351    0.23989E+04    0.17656E+02    0.29467E-01    0.86471E+02
   352    0.23745E+04    0.17799E+02    0.29557E-01    0.85053E+02
   353    0.23505E+04    0.17938E+02    0.29647E-01    0.83621E+02
   354    0.23268E+04    0.18076E+02    0.29736E-01    0.82152E+02
   355    0.23035E+04    0.18212E+02    0.29826E-01    0.80661E+02
   356    0.22806E+04    0.18345E+02    0.29915E-01    0.79156E+02
   357    0.22580E+04    0.18475E+02    0.30004E-01    0.77622E+02
   358    0.22359E+04    0.18602E+02    0.30092E-01    0.76073E+02
   359    0.22141E+04    0.18727E+02    0.30181E-01    0.74496E+02
   360    0.21927E+04    0.18849E+02    0.30270E-01    0.72900E+02
   361    0.21716E+04    0.18969E+02    0.30359E-01    0.71281E+02
   362    0.21510E+04    0.19086E+02    0.30447E-01    0.69643E+02
   363    0.21308E+04    0.19200E+02    0.30536E-01    0.67988E+02
   364    0.21110E+04    0.19310E+02    0.30624E-01    0.66311E+02
   365    0.20916E+04    0.19418E+02    0.30713E-01    0.64620E+02
   366    0.20726E+04    0.19523E+02    0.30801E-01    0.62910E+02
   367    0.20540E+04    0.19624E+02    0.30890E-01    0.61184E+02
   368    0.20358E+04    0.19723E+02    0.30979E-01    0.59444E+02
   369    0.20181E+04    0.19818E+02    0.31068E-01    0.57686E+02
   370    0.20008E+04    0.19911E+02    0.31157E-01    0.55918E+02
   371    0.19838E+04    0.19999E+02    0.31246E-01    0.54134E+02
   372    0.19673E+04    0.20085E+02    0.31335E-01    0.52339E+02
   373    0.19512E+04    0.20167E+02    0.31424E-01    0.50530E+02
   374    0.19355E+04    0.20246E+02    0.31514E-01    0.48711E+02
   375    0.19203E+04    0.20321E+02    0.31603E-01    0.46882E+02
   376    0.19055E+04    0.20394E+02    0.31693E-01    0.45043E+02
   377    0.18912E+04    0.20462E+02    0.31783E-01    0.43197E+02
   378    0.18772E+04    0.20527E+02    0.31874E-01    0.41340E+02
   379    0.18636E+04    0.20589E+02    0.31964E-01    0.39477E+02
   380    0.18506E+04    0.20648E+02    0.32055E-01    0.37607E+02
   381    0.18379E+04    0.20700E+02    0.32146E-01    0.35731E+02
   382    0.18256E+04    0.20751E+02    0.32238E-01    0.33851E+02
   383    0.18139E+04    0.20798E+02    0.32330E-01    0.31965E+02
   384    0.18026E+04    0.20840E+02    0.32422E-01    0.30077E+02
   385    0.17916E+04    0.20881E+02    0.32514E-01    0.28185E+02
   386    0.17811E+04    0.20916E+02    0.32607E-01    0.26292E+02
   387    0.17710E+04    0.20948E+02    0.32700E-01    0.24397E+02
   388    0.17613E+04    0.20976E+02    0.32794E-01    0.22503E+02
   389    0.17521E+04    0.20998E+02    0.32888E-01    0.20608E+02
   390    0.17433E+04    0.21020E+02    0.32982E-01    0.18715E+02
   391    0.17349E+04    0.21036E+02    0.33077E-01    0.16823E+02
   392    0.17269E+04    0.21051E+02    0.33172E-01    0.14934E+02
   393    0.17194E+04    0.21060E+02    0.33268E-01    0.13048E+02
   394    0.17123E+04    0.21066E+02    0.33364E-01    0.11168E+02
